,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-20,5.5410,5.6290,1.09,开放申购,开放赎回,,,1,,,,
1,2025-08-19,5.4810,5.5690,-0.16,开放申购,开放赎回,,,1,,,,
2,2025-08-18,5.4900,5.5780,1.70,开放申购,开放赎回,,,1,,,,
3,2025-08-15,5.3980,5.4860,2.10,开放申购,开放赎回,,,1,,,,
4,2025-08-14,5.2870,5.3750,-0.79,开放申购,开放赎回,,,1,,,,
5,2025-08-13,5.3290,5.4170,0.78,开放申购,开放赎回,,,1,,,,
6,2025-08-12,5.2880,5.3760,0.17,开放申购,开放赎回,,,1,,,,
7,2025-08-11,5.2790,5.3670,1.71,开放申购,开放赎回,,,1,,,,
8,2025-08-08,5.1900,5.2780,0.06,开放申购,开放赎回,,,1,,,,
9,2025-08-07,5.1870,5.2750,0.45,开放申购,开放赎回,,,1,,,,
10,2025-08-06,5.1640,5.2520,0.64,开放申购,开放赎回,,,1,,,,
11,2025-08-05,5.1310,5.2190,0.35,开放申购,开放赎回,,,1,,,,
12,2025-08-04,5.1130,5.2010,0.51,开放申购,开放赎回,,,1,,,,
13,2025-08-01,5.0870,5.1750,0.37,开放申购,开放赎回,,,1,,,,
14,2025-07-31,5.0680,5.1560,-1.59,开放申购,开放赎回,,,1,,,,
15,2025-07-30,5.1500,5.2380,-0.35,开放申购,开放赎回,,,1,,,,
16,2025-07-29,5.1680,5.2560,0.27,开放申购,开放赎回,,,1,,,,
17,2025-07-28,5.1540,5.2420,0.06,开放申购,开放赎回,,,1,,,,
18,2025-07-25,5.1510,5.2390,0.00,开放申购,开放赎回,,,1,,,,
19,2025-07-24,5.1510,5.2390,1.32,开放申购,开放赎回,,,1,,,,
20,2025-07-23,5.0840,5.1720,-0.51,开放申购,开放赎回,,,1,,,,
21,2025-07-22,5.1100,5.1980,1.25,开放申购,开放赎回,,,1,,,,
22,2025-07-21,5.0470,5.1350,1.45,开放申购,开放赎回,,,1,,,,
23,2025-07-18,4.9750,5.0630,0.36,开放申购,开放赎回,,,1,,,,
24,2025-07-17,4.9570,5.0450,1.10,开放申购,开放赎回,,,1,,,,
25,2025-07-16,4.9030,4.9910,0.10,开放申购,开放赎回,,,1,,,,
26,2025-07-15,4.8980,4.9860,-0.43,开放申购,开放赎回,,,1,,,,
27,2025-07-14,4.9190,5.0070,0.04,开放申购,开放赎回,,,1,,,,
28,2025-07-11,4.9170,5.0050,0.63,开放申购,开放赎回,,,1,,,,
29,2025-07-10,4.8860,4.9740,0.68,开放申购,开放赎回,,,1,,,,
30,2025-07-09,4.8530,4.9410,-0.41,开放申购,开放赎回,,,1,,,,
