,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-20,1.5785,1.7685,,,1,0.22,开放申购,开放赎回,,,,
1,2025-08-19,1.5751,1.7651,,,1,-0.05,开放申购,开放赎回,,,,
2,2025-08-18,1.5759,1.7659,,,1,0.24,开放申购,开放赎回,,,,
3,2025-08-15,1.5721,1.7621,,,1,0.18,开放申购,开放赎回,,,,
4,2025-08-14,1.5693,1.7593,,,1,-0.11,开放申购,开放赎回,,,,
5,2025-08-13,1.5710,1.7610,,,1,0.07,开放申购,开放赎回,,,,
6,2025-08-12,1.5699,1.7599,,,1,0.07,开放申购,开放赎回,,,,
7,2025-08-11,1.5688,1.7588,,,1,0.06,开放申购,开放赎回,,,,
8,2025-08-08,1.5679,1.7579,,,1,-0.12,开放申购,开放赎回,,,,
9,2025-08-07,1.5698,1.7598,,,1,0.03,开放申购,开放赎回,,,,
10,2025-08-06,1.5693,1.7593,,,1,0.17,开放申购,开放赎回,,,,
11,2025-08-05,1.5667,1.7567,,,1,0.12,开放申购,开放赎回,,,,
12,2025-08-04,1.5648,1.7548,,,1,0.22,开放申购,开放赎回,,,,
13,2025-08-01,1.5613,1.7513,,,1,0.13,开放申购,开放赎回,,,,
14,2025-07-31,1.5592,1.7492,,,1,-0.42,开放申购,开放赎回,,,,
15,2025-07-30,1.5658,1.7558,,,1,0.21,开放申购,开放赎回,,,,
16,2025-07-29,1.5625,1.7525,,,1,0.07,开放申购,开放赎回,,,,
17,2025-07-28,1.5614,1.7514,,,1,-0.08,开放申购,开放赎回,,,,
18,2025-07-25,1.5626,1.7526,,,1,0.13,开放申购,开放赎回,,,,
19,2025-07-24,1.5606,1.7506,,,1,0.12,开放申购,开放赎回,,,,
20,2025-07-23,1.5588,1.7488,,,1,0.08,开放申购,开放赎回,,,,
21,2025-07-22,1.5576,1.7476,,,1,0.21,开放申购,开放赎回,,,,
22,2025-07-21,1.5544,1.7444,,,1,0.30,开放申购,开放赎回,,,,
23,2025-07-18,1.5498,1.7398,,,1,0.17,开放申购,开放赎回,,,,
24,2025-07-17,1.5472,1.7372,,,1,-0.03,开放申购,开放赎回,,,,
25,2025-07-16,1.5477,1.7377,,,1,0.09,开放申购,开放赎回,,,,
26,2025-07-15,1.5463,1.7363,,,1,-0.01,开放申购,开放赎回,,,,
27,2025-07-14,1.5464,1.7364,,,1,-0.01,开放申购,开放赎回,,,,
28,2025-07-11,1.5465,1.7365,,,1,0.02,开放申购,开放赎回,,,,
29,2025-07-10,1.5462,1.7362,,,1,0.06,开放申购,开放赎回,,,,
30,2025-07-09,1.5453,1.7353,,,1,-0.12,开放申购,开放赎回,,,,
31,2025-07-08,1.5472,1.7372,,,1,0.26,开放申购,开放赎回,,,,
32,2025-07-07,1.5432,1.7332,,,1,-0.03,开放申购,开放赎回,,,,
33,2025-07-04,1.5437,1.7337,,,1,-0.06,开放申购,开放赎回,,,,
34,2025-07-03,1.5447,1.7347,,,1,0.18,开放申购,开放赎回,,,,
35,2025-07-02,1.5419,1.7319,,,1,-0.05,开放申购,开放赎回,,,,
36,2025-07-01,1.5426,1.7326,,,1,0.12,开放申购,开放赎回,,,,
37,2025-06-30,1.5408,1.7308,,,1,0.29,开放申购,开放赎回,,,,
38,2025-06-27,1.5363,1.7263,,,1,-0.07,开放申购,开放赎回,,,,
39,2025-06-26,1.5374,1.7274,,,1,-0.07,开放申购,开放赎回,,,,
40,2025-06-25,1.5385,1.7285,,,1,0.27,开放申购,开放赎回,,,,
41,2025-06-24,1.5344,1.7244,,,1,0.25,开放申购,开放赎回,,,,
42,2025-06-23,1.5306,1.7206,,,1,-0.02,开放申购,开放赎回,,,,
43,2025-06-20,1.5309,1.7209,,,1,-0.05,开放申购,开放赎回,,,,
44,2025-06-19,1.5316,1.7216,,,1,-0.24,开放申购,开放赎回,,,,
45,2025-06-18,1.5353,1.7253,,,1,-0.02,开放申购,开放赎回,,,,
46,2025-06-17,1.5356,1.7256,,,1,-0.15,开放申购,开放赎回,,,,
47,2025-06-16,1.5379,1.7279,,,1,-0.05,开放申购,开放赎回,,,,
48,2025-06-13,1.5387,1.7287,,,1,-0.15,开放申购,开放赎回,,,,
49,2025-06-12,1.5410,1.7310,,,1,0.01,开放申购,开放赎回,,,,
50,2025-06-11,1.5409,1.7309,,,1,0.18,开放申购,开放赎回,,,,
51,2025-06-10,1.5381,1.7281,,,1,-0.07,开放申购,开放赎回,,,,
52,2025-06-09,1.5392,1.7292,,,1,0.05,开放申购,开放赎回,,,,
53,2025-06-06,1.5385,1.7285,,,1,0.03,开放申购,开放赎回,,,,
54,2025-06-05,1.5380,1.7280,,,1,0.03,开放申购,开放赎回,,,,
55,2025-06-04,1.5376,1.7276,,,1,0.12,开放申购,开放赎回,,,,
56,2025-06-03,1.5357,1.7257,,,1,0.33,开放申购,开放赎回,,,,
57,2025-05-30,1.5307,1.7207,,,1,-0.07,开放申购,开放赎回,,,,
58,2025-05-29,1.5318,1.7218,,,1,0.19,开放申购,开放赎回,,,,
59,2025-05-28,1.5289,1.7189,,,1,0.01,开放申购,开放赎回,,,,
60,2025-05-27,1.5287,1.7187,,,1,-0.13,开放申购,开放赎回,,,,
61,2025-05-26,1.5307,1.7207,,,1,0.01,开放申购,开放赎回,,,,
62,2025-05-23,1.5306,1.7206,,,1,-0.24,开放申购,开放赎回,,,,
63,2025-05-22,1.5343,1.7243,,,1,-0.05,开放申购,开放赎回,,,,
64,2025-05-21,1.5350,1.7250,,,1,0.15,开放申购,开放赎回,,,,
65,2025-05-20,1.5327,1.7227,,,1,0.22,开放申购,开放赎回,,,,
66,2025-05-19,1.5293,1.7193,,,1,0.09,开放申购,开放赎回,,,,
67,2025-05-16,1.5280,1.7180,,,1,-0.08,开放申购,开放赎回,,,,
68,2025-05-15,1.5292,1.7192,,,1,-0.25,开放申购,开放赎回,,,,
69,2025-05-14,1.5331,1.7231,,,1,0.12,开放申购,开放赎回,,,,
70,2025-05-13,1.5312,1.7212,,,1,0.08,开放申购,开放赎回,,,,
71,2025-05-12,1.5300,1.7200,,,1,0.19,开放申购,开放赎回,,,,
72,2025-05-09,1.5271,1.7171,,,1,0.03,开放申购,开放赎回,,,,
73,2025-05-08,1.5267,1.7167,,,1,-0.05,开放申购,开放赎回,,,,
74,2025-05-07,1.5274,1.7174,,,1,-0.01,开放申购,开放赎回,,,,
75,2025-05-06,1.5275,1.7175,,,1,0.30,开放申购,开放赎回,,,,
76,2025-04-30,1.5230,1.7130,,,1,0.27,开放申购,开放赎回,,,,
77,2025-04-29,1.5189,1.7089,,,1,0.09,开放申购,开放赎回,,,,
78,2025-04-28,1.5176,1.7076,,,1,0.07,开放申购,开放赎回,,,,
79,2025-04-25,1.5165,1.7065,,,1,-0.08,开放申购,开放赎回,,,,
80,2025-04-24,1.5177,1.7077,,,1,-0.01,开放申购,开放赎回,,,,
81,2025-04-23,1.5179,1.7079,,,1,-0.07,开放申购,开放赎回,,,,
82,2025-04-22,1.5189,1.7089,,,1,-0.01,开放申购,开放赎回,,,,
83,2025-04-21,1.5190,1.7090,,,1,0.28,开放申购,开放赎回,,,,
84,2025-04-18,1.5147,1.7047,,,1,-0.11,开放申购,开放赎回,,,,
85,2025-04-17,1.5164,1.7064,,,1,0.10,开放申购,开放赎回,,,,
86,2025-04-16,1.5149,1.7049,,,1,-0.09,开放申购,开放赎回,,,,
87,2025-04-15,1.5162,1.7062,,,1,0.10,开放申购,开放赎回,,,,
88,2025-04-14,1.5147,1.7047,,,1,0.17,开放申购,开放赎回,,,,
89,2025-04-11,1.5121,1.7021,,,1,0.19,开放申购,开放赎回,,,,
90,2025-04-10,1.5093,1.6993,,,1,0.44,开放申购,开放赎回,,,,
91,2025-04-09,1.5027,1.6927,,,1,0.24,开放申购,开放赎回,,,,
92,2025-04-08,1.4991,1.6891,,,1,0.46,开放申购,开放赎回,,,,
93,2025-04-07,1.4922,1.6822,,,1,-2.14,开放申购,开放赎回,,,,
94,2025-04-03,1.5248,1.7148,,,1,-0.23,开放申购,开放赎回,,,,
95,2025-04-02,1.5283,1.7183,,,1,0.07,开放申购,开放赎回,,,,
96,2025-04-01,1.5272,1.7172,,,1,0.12,开放申购,开放赎回,,,,
97,2025-03-31,1.5254,1.7154,,,1,-0.16,开放申购,开放赎回,,,,
98,2025-03-28,1.5279,1.7179,,,1,-0.08,开放申购,开放赎回,,,,
99,2025-03-27,1.5291,1.7191,,,1,0.17,开放申购,开放赎回,,,,
100,2025-03-26,1.5265,1.7165,,,1,-0.10,开放申购,开放赎回,,,,
101,2025-03-25,1.5281,1.7181,,,1,0.02,开放申购,开放赎回,,,,
102,2025-03-24,1.5278,1.7178,,,1,0.11,开放申购,开放赎回,,,,
103,2025-03-21,1.5261,1.7161,,,1,-0.35,开放申购,开放赎回,,,,
104,2025-03-20,1.5315,1.7215,,,1,-0.25,开放申购,开放赎回,,,,
105,2025-03-19,1.5353,1.7253,,,1,-0.06,开放申购,开放赎回,,,,
106,2025-03-18,1.5362,1.7262,,,1,0.11,开放申购,开放赎回,,,,
107,2025-03-17,1.5345,1.7245,,,1,-0.14,开放申购,开放赎回,,,,
108,2025-03-14,1.5367,1.7267,,,1,0.75,开放申购,开放赎回,,,,
109,2025-03-13,1.5253,1.7153,,,1,-0.13,开放申购,开放赎回,,,,
110,2025-03-12,1.5273,1.7173,,,1,-0.12,开放申购,开放赎回,,,,
111,2025-03-11,1.5291,1.7191,,,1,0.00,开放申购,开放赎回,,,,
112,2025-03-10,1.5291,1.7191,,,1,0.02,开放申购,开放赎回,,,,
113,2025-03-07,1.5288,1.7188,,,1,-0.20,开放申购,开放赎回,,,,
114,2025-03-06,1.5319,1.7219,,,1,0.45,开放申购,开放赎回,,,,
115,2025-03-05,1.5250,1.7150,,,1,0.04,开放申购,开放赎回,,,,
116,2025-03-04,1.5244,1.7144,,,1,0.20,开放申购,开放赎回,,,,
117,2025-03-03,1.5213,1.7113,,,1,0.18,开放申购,开放赎回,,,,
118,2025-02-28,1.5186,1.7086,,,1,-0.55,开放申购,开放赎回,,,,
119,2025-02-27,1.5270,1.7170,,,1,0.06,开放申购,开放赎回,,,,
120,2025-02-26,1.5261,1.7161,,,1,0.10,开放申购,开放赎回,,,,
121,2025-02-25,1.5245,1.7145,,,1,-0.35,开放申购,开放赎回,,,,
122,2025-02-24,1.5298,1.7198,,,1,-0.23,开放申购,开放赎回,,,,
123,2025-02-21,1.5333,1.7233,,,1,0.27,开放申购,开放赎回,,,,
124,2025-02-20,1.5292,1.7192,,,1,-0.04,开放申购,开放赎回,,,,
125,2025-02-19,1.5298,1.7198,,,1,0.30,开放申购,开放赎回,,,,
126,2025-02-18,1.5253,1.7153,,,1,-0.37,开放申购,开放赎回,,,,
127,2025-02-17,1.5309,1.7209,,,1,-0.14,开放申购,开放赎回,,,,
128,2025-02-14,1.5331,1.7231,,,1,0.26,开放申购,开放赎回,,,,
129,2025-02-13,1.5292,1.7192,,,1,-0.03,开放申购,开放赎回,,,,
130,2025-02-12,1.5296,1.7196,,,1,0.32,开放申购,开放赎回,,,,
131,2025-02-11,1.5247,1.7147,,,1,-0.06,开放申购,开放赎回,,,,
132,2025-02-10,1.5256,1.7156,,,1,0.06,开放申购,开放赎回,,,,
133,2025-02-07,1.5247,1.7147,,,1,0.25,开放申购,开放赎回,,,,
134,2025-02-06,1.5209,1.7109,,,1,0.42,开放申购,开放赎回,,,,
135,2025-02-05,1.5146,1.7046,,,1,0.14,开放申购,开放赎回,,,,
136,2025-01-27,1.5125,1.7025,,,1,0.04,开放申购,开放赎回,,,,
137,2025-01-24,1.5119,1.7019,,,1,0.31,开放申购,开放赎回,,,,
138,2025-01-23,1.5072,1.6972,,,1,-0.10,开放申购,开放赎回,,,,
139,2025-01-22,1.5087,1.6987,,,1,-0.09,开放申购,开放赎回,,,,
140,2025-01-21,1.5101,1.7001,,,1,0.30,开放申购,开放赎回,,,,
141,2025-01-20,1.5056,1.6956,,,1,0.09,开放申购,开放赎回,,,,
142,2025-01-17,1.5043,1.6943,,,1,0.29,开放申购,开放赎回,,,,
143,2025-01-16,1.4999,1.6899,,,1,0.15,开放申购,开放赎回,,,,
144,2025-01-15,1.4977,1.6877,,,1,-0.17,开放申购,开放赎回,,,,
145,2025-01-14,1.5002,1.6902,,,1,0.82,开放申购,开放赎回,,,,
146,2025-01-13,1.4880,1.6780,,,1,-0.07,开放申购,开放赎回,,,,
147,2025-01-10,1.4890,1.6790,,,1,-0.27,开放申购,开放赎回,,,,
148,2025-01-09,1.4931,1.6831,,,1,-0.07,开放申购,开放赎回,,,,
149,2025-01-08,1.4942,1.6842,,,1,-0.05,开放申购,开放赎回,,,,
