,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,ACTUALSYI,NAVTYPE,SDATE,DTYPE,FHSP
0,2025-08-21,1.0656,1.3746,0.00,开放申购,开放赎回,,,,1,,,
1,2025-08-20,1.0656,1.3746,0.00,开放申购,开放赎回,,,,1,,,
2,2025-08-19,1.0656,1.3746,0.00,开放申购,开放赎回,,,,1,,,
3,2025-08-18,1.0656,1.3746,-0.02,开放申购,开放赎回,,,,1,,,
4,2025-08-15,1.0658,1.3748,0.01,开放申购,开放赎回,,,,1,,,
5,2025-08-14,1.0657,1.3747,0.00,开放申购,开放赎回,,,,1,,,
6,2025-08-13,1.0657,1.3747,-0.01,开放申购,开放赎回,,,,1,,,
7,2025-08-12,1.0658,1.3748,-0.02,开放申购,开放赎回,,,,1,,,
8,2025-08-11,1.0660,1.3750,-0.07,开放申购,开放赎回,,,,1,,,
9,2025-08-08,1.0668,1.3758,-0.01,开放申购,开放赎回,,,,1,,,
10,2025-08-07,1.0669,1.3759,0.02,开放申购,开放赎回,,,,1,,,
11,2025-08-06,1.0667,1.3757,0.02,开放申购,开放赎回,,,,1,,,
12,2025-08-05,1.0665,1.3755,0.00,开放申购,开放赎回,,,,1,,,
13,2025-08-04,1.0665,1.3755,0.03,开放申购,开放赎回,,,,1,,,
14,2025-08-01,1.0662,1.3752,0.01,开放申购,开放赎回,,,,1,,,
15,2025-07-31,1.0661,1.3751,0.10,开放申购,开放赎回,,,,1,,,
16,2025-07-30,1.0650,1.3740,0.04,开放申购,开放赎回,,,,1,,,
17,2025-07-29,1.0646,1.3736,-0.09,开放申购,开放赎回,,,,1,,,
18,2025-07-28,1.0656,1.3746,0.08,开放申购,开放赎回,,,,1,,,
19,2025-07-25,1.0648,1.3738,0.00,开放申购,开放赎回,,,,1,,,
20,2025-07-24,1.0648,1.3738,-0.15,开放申购,开放赎回,,,,1,,,
21,2025-07-23,1.0664,1.3754,-0.05,开放申购,开放赎回,,,,1,,,
22,2025-07-22,1.0669,1.3759,-0.07,开放申购,开放赎回,,,,1,,,
23,2025-07-21,1.0676,1.3766,-0.06,开放申购,开放赎回,,,,1,,,
24,2025-07-18,1.0682,1.3772,-0.01,开放申购,开放赎回,,,,1,,,
25,2025-07-17,1.0683,1.3773,0.03,开放申购,开放赎回,,,,1,,,
26,2025-07-16,1.0680,1.3770,-0.01,开放申购,开放赎回,,,,1,,,
27,2025-07-15,1.0681,1.3771,0.07,开放申购,开放赎回,,,,1,,,
28,2025-07-14,1.0673,1.3763,-0.02,开放申购,开放赎回,,,,1,,,
29,2025-07-11,1.0675,1.3765,0.00,开放申购,开放赎回,,,,1,,,
30,2025-07-10,1.0675,1.3765,-0.05,开放申购,开放赎回,,,,1,,,
31,2025-07-09,1.0680,1.3770,0.02,开放申购,开放赎回,,,,1,,,
32,2025-07-08,1.0678,1.3768,-0.03,开放申购,开放赎回,,,,1,,,
33,2025-07-07,1.0681,1.3771,0.03,开放申购,开放赎回,,,,1,,,
34,2025-07-04,1.0678,1.3768,0.01,开放申购,开放赎回,,,,1,,,
35,2025-07-03,1.0677,1.3767,0.01,开放申购,开放赎回,,,,1,,,
36,2025-07-02,1.0676,1.3766,0.05,开放申购,开放赎回,,,,1,,,
37,2025-07-01,1.0671,1.3761,0.04,开放申购,开放赎回,,,,1,,,
38,2025-06-30,1.0667,1.3757,-0.02,开放申购,开放赎回,,,,1,,,
39,2025-06-27,1.0669,1.3759,0.01,开放申购,开放赎回,,,,1,,,
40,2025-06-26,1.0668,1.3758,0.03,开放申购,开放赎回,,,,1,,,
41,2025-06-25,1.0665,1.3755,-0.07,开放申购,开放赎回,,,,1,,,
42,2025-06-24,1.0672,1.3762,-0.05,开放申购,开放赎回,,,,1,,,
43,2025-06-23,1.0677,1.3767,0.01,开放申购,开放赎回,,,,1,,,
44,2025-06-20,1.0676,1.3766,0.03,开放申购,开放赎回,,,,1,,,
45,2025-06-19,1.0673,1.3763,0.03,开放申购,开放赎回,,,,1,,,
46,2025-06-18,1.0670,1.3760,0.03,开放申购,开放赎回,,,,1,,,
47,2025-06-17,1.0667,1.3757,0.05,开放申购,开放赎回,,,,1,,,
48,2025-06-16,1.0662,1.3752,0.00,开放申购,开放赎回,,,,1,,,
49,2025-06-13,1.0662,1.3752,0.02,开放申购,开放赎回,,,,1,,,
50,2025-06-12,1.0660,1.3750,0.02,开放申购,开放赎回,,,,1,,,
51,2025-06-11,1.0658,1.3748,0.08,开放申购,开放赎回,,,,1,,,
52,2025-06-10,1.0650,1.3740,0.01,开放申购,开放赎回,,,,1,,,
53,2025-06-09,1.0649,1.3739,0.06,开放申购,开放赎回,,,,1,,,
54,2025-06-06,1.0643,1.3733,0.07,开放申购,开放赎回,,,,1,,,
55,2025-06-05,1.0636,1.3726,-0.01,开放申购,开放赎回,,,,1,,,
56,2025-06-04,1.0637,1.3727,0.03,开放申购,开放赎回,,,,1,,,
57,2025-06-03,1.0634,1.3724,0.02,开放申购,开放赎回,,,,1,,,
58,2025-05-30,1.0632,1.3722,0.08,开放申购,开放赎回,,,,1,,,
59,2025-05-29,1.0623,1.3713,-0.03,开放申购,开放赎回,,,,1,,,
60,2025-05-28,1.0626,1.3716,-0.01,开放申购,开放赎回,,,,1,,,
61,2025-05-27,1.0627,1.3717,-0.03,开放申购,开放赎回,,,,1,,,
62,2025-05-26,1.0630,1.3720,0.02,开放申购,开放赎回,,,,1,,,
63,2025-05-23,1.0628,1.3718,0.01,开放申购,开放赎回,,,,1,,,
64,2025-05-22,1.0627,1.3717,0.01,开放申购,开放赎回,,,,1,,,
65,2025-05-21,1.0626,1.3716,-0.01,开放申购,开放赎回,,,,1,,,
66,2025-05-20,1.0627,1.3717,-0.01,开放申购,开放赎回,,,,1,,,
67,2025-05-19,1.0628,1.3718,0.04,开放申购,开放赎回,,,,1,,,
68,2025-05-16,1.0624,1.3714,0.00,开放申购,开放赎回,,,,1,,,
