,FSRQ,DWJZ,LJJZ,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,NAVTYPE,SDATE,ACTUALSYI,DTYPE,FHSP
0,2025-08-21,1.4420,1.5530,0.21,开放申购,开放赎回,,,1,,,,
1,2025-08-20,1.4390,1.5500,0.14,开放申购,开放赎回,,,1,,,,
2,2025-08-19,1.4370,1.5480,0.14,开放申购,开放赎回,,,1,,,,
3,2025-08-18,1.4350,1.5460,0.21,开放申购,开放赎回,,,1,,,,
4,2025-08-15,1.4320,1.5430,0.28,开放申购,开放赎回,,,1,,,,
5,2025-08-14,1.4280,1.5390,-0.14,开放申购,开放赎回,,,1,,,,
6,2025-08-13,1.4300,1.5410,0.21,开放申购,开放赎回,,,1,,,,
7,2025-08-12,1.4270,1.5380,-0.07,开放申购,开放赎回,,,1,,,,
8,2025-08-11,1.4280,1.5390,0.14,开放申购,开放赎回,,,1,,,,
9,2025-08-08,1.4260,1.5370,0.07,开放申购,开放赎回,,,1,,,,
10,2025-08-07,1.4250,1.5360,-0.07,开放申购,开放赎回,,,1,,,,
11,2025-08-06,1.4260,1.5370,0.21,开放申购,开放赎回,,,1,,,,
12,2025-08-05,1.4230,1.5340,0.42,开放申购,开放赎回,,,1,,,,
13,2025-08-04,1.4170,1.5280,0.35,开放申购,开放赎回,,,1,,,,
14,2025-08-01,1.4120,1.5230,0.07,开放申购,开放赎回,,,1,,,,
15,2025-07-31,1.4110,1.5220,-0.35,开放申购,开放赎回,,,1,,,,
16,2025-07-30,1.4160,1.5270,0.00,开放申购,开放赎回,,,1,,,,
17,2025-07-29,1.4160,1.5270,-0.14,开放申购,开放赎回,,,1,,,,
18,2025-07-28,1.4180,1.5290,-0.28,开放申购,开放赎回,,,1,,,,
19,2025-07-25,1.4220,1.5330,0.07,开放申购,开放赎回,,,1,,,,
20,2025-07-24,1.4210,1.5320,0.21,开放申购,开放赎回,,,1,,,,
21,2025-07-23,1.4180,1.5290,-0.07,开放申购,开放赎回,,,1,,,,
22,2025-07-22,1.4190,1.5300,0.14,开放申购,开放赎回,,,1,,,,
23,2025-07-21,1.4170,1.5280,0.28,开放申购,开放赎回,,,1,,,,
24,2025-07-18,1.4130,1.5240,0.14,开放申购,开放赎回,,,1,,,,
25,2025-07-17,1.4110,1.5220,0.36,开放申购,开放赎回,,,1,,,,
26,2025-07-16,1.4060,1.5170,0.21,开放申购,开放赎回,,,1,,,,
27,2025-07-15,1.4030,1.5140,-0.07,开放申购,开放赎回,,,1,,,,
28,2025-07-14,1.4040,1.5150,-0.21,开放申购,开放赎回,,,1,,,,
29,2025-07-11,1.4070,1.5180,0.07,开放申购,开放赎回,,,1,,,,
30,2025-07-10,1.4060,1.5170,0.14,开放申购,开放赎回,,,1,,,,
31,2025-07-09,1.4040,1.5150,-0.07,开放申购,开放赎回,,,1,,,,
32,2025-07-08,1.4050,1.5160,0.29,开放申购,开放赎回,,,1,,,,
33,2025-07-07,1.4010,1.5120,-0.07,开放申购,开放赎回,,,1,,,,
34,2025-07-04,1.4020,1.5130,0.00,开放申购,开放赎回,,,1,,,,
35,2025-07-03,1.4020,1.5130,0.29,开放申购,开放赎回,,,1,,,,
36,2025-07-02,1.3980,1.5090,-0.21,开放申购,开放赎回,,,1,,,,
37,2025-07-01,1.4010,1.5120,0.29,开放申购,开放赎回,,,1,,,,
38,2025-06-30,1.3970,1.5080,0.14,开放申购,开放赎回,,,1,,,,
39,2025-06-27,1.3950,1.5060,0.00,开放申购,开放赎回,,,1,,,,
40,2025-06-26,1.3950,1.5060,0.00,开放申购,开放赎回,,,1,,,,
