,FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
0,2025-08-21,5.9252,5.9252,,,1,0.66,限制大额申购,开放赎回,,,,
1,2025-08-20,5.8861,5.8861,,,1,1.09,限制大额申购,开放赎回,,,,
2,2025-08-19,5.8226,5.8226,,,1,-0.69,限制大额申购,开放赎回,,,,
3,2025-08-18,5.8630,5.8630,,,1,0.73,限制大额申购,开放赎回,,,,
4,2025-08-15,5.8204,5.8204,,,1,1.62,限制大额申购,开放赎回,,,,
5,2025-08-14,5.7278,5.7278,,,1,-0.42,限制大额申购,开放赎回,,,,
6,2025-08-13,5.7522,5.7522,,,1,1.02,限制大额申购,开放赎回,,,,
7,2025-08-12,5.6944,5.6944,,,1,-0.48,限制大额申购,开放赎回,,,,
8,2025-08-11,5.7216,5.7216,,,1,1.18,限制大额申购,开放赎回,,,,
9,2025-08-08,5.6551,5.6551,,,1,-1.47,限制大额申购,开放赎回,,,,
10,2025-08-07,5.7396,5.7396,,,1,0.21,限制大额申购,开放赎回,,,,
11,2025-08-06,5.7274,5.7274,,,1,1.26,限制大额申购,开放赎回,,,,
12,2025-08-05,5.6560,5.6560,,,1,-0.48,限制大额申购,开放赎回,,,,
13,2025-08-04,5.6831,5.6831,,,1,1.20,限制大额申购,开放赎回,,,,
14,2025-08-01,5.6157,5.6157,,,1,-0.40,限制大额申购,开放赎回,,,,
15,2025-07-31,5.6383,5.6383,,,1,1.37,限制大额申购,开放赎回,,,,
16,2025-07-30,5.5623,5.5623,,,1,-1.42,限制大额申购,开放赎回,,,,
17,2025-07-29,5.6422,5.6422,,,1,0.80,限制大额申购,开放赎回,,,,
18,2025-07-28,5.5973,5.5973,,,1,-0.77,限制大额申购,开放赎回,,,,
19,2025-07-25,5.6408,5.6408,,,1,0.48,限制大额申购,开放赎回,,,,
20,2025-07-24,5.6139,5.6139,,,1,1.81,限制大额申购,开放赎回,,,,
21,2025-07-23,5.5141,5.5141,,,1,1.47,限制大额申购,开放赎回,,,,
22,2025-07-22,5.4342,5.4342,,,1,-0.96,限制大额申购,开放赎回,,,,
23,2025-07-21,5.4866,5.4866,,,1,-0.18,限制大额申购,开放赎回,,,,
24,2025-07-18,5.4967,5.4967,,,1,1.86,限制大额申购,开放赎回,,,,
25,2025-07-17,5.3965,5.3965,,,1,0.84,限制大额申购,开放赎回,,,,
26,2025-07-16,5.3513,5.3513,,,1,0.05,限制大额申购,开放赎回,,,,
27,2025-07-15,5.3487,5.3487,,,1,4.45,限制大额申购,开放赎回,,,,
28,2025-07-14,5.1206,5.1206,,,1,0.64,限制大额申购,开放赎回,,,,
